"Date","Stock name","Last trade / volume","Bid / ask price","Bid / ask volume","Last close","Open","Volume","Daily low / time","Daily high / time","Spread absolute / in %","Opting up / Opting out","Management Transactions","Significant Shareholders","52 week change","52 week high / date","52 week low / date","Year to date change","VWAP (60 days)","Download","Valor symbol","Valor number","ISIN","Trading currency","Product type","Trading","Security type","Smallest tradable unit","Security segment","Primary listed","Issued by","Number in issue","Nominal value","Dividend entitlement","Regulatory standard"
"05.11.2021","ABB LTD N","31.49 / 1'001'133","31.50 / +Market","300 / 725","31.64","31.65","4'209'507","31.44 / 16:28","31.81 / 11:00","- / -","Mandatory offer for sale in accordance with FMIA","more...","more...","+31.04%","34.79 / 18.08.2021","23.66 / 11.12.2020","+27.44%","32.16","Intraday valuesHistorical values","ABBN","1222171","CH0012221716","CHF","Swiss Blue Chip Shares","07.12.2020","Registered share","1","Swiss Shares","Yes","ABB Ltd","2'053'148'264","0.12 CHF","Yes","International Reporting Standard"
"05.11.2021","ALCON N","78.16 / 345'788","77.80 / 78.32","100 / 40","78.32","78.52","718'046","77.94 / 14:31","78.84 / 12:10","0.52 / 0.6662%","Mandatory offer for sale in accordance with FMIA","more...","more...","+38.29%","80.52 / 16.09.2021","55.46 / 03.12.2020","+32.83%","75.41","Intraday valuesHistorical values","ALC","43249246","CH0432492467","CHF","Swiss Blue Chip Shares","07.12.2020","Registered share","1","Swiss Shares","Yes","Alcon Inc.","499'700'000","0.04 CHF","Yes","International Reporting Standard"
"05.11.2021","CS GROUP N","9.396 / 1'953'003","9.352 / +Market","400 / 1'322","9.422","9.246","11'406'243","9.166 / 09:26","9.494 / 14:00","- / -","Mandatory offer for sale in accordance with FMIA","more...","more...","-1.88%","13.50 / 25.02.2021","8.706 / 21.09.2021","-17.58%","9.51","Intraday valuesHistorical values","CSGN","1213853","CH0012138530","CHF","Swiss Blue Chip Shares","07.12.2020","Registered share","1","Swiss Shares","Yes","Credit Suisse Group AG","2'650'747'720","0.04 CHF","Yes","International Reporting Standard"
"05.11.2021","GEBERIT N","716.00 / 10'228","+Market / +Market","40 / 15","726.40","726.20","65'289","715.8 / 17:19","730 / 11:35","- / -","Mandatory offer for sale in accordance with FMIA","more...","more...","+26.95%","780.00 / 31.08.2021","521.60 / 16.12.2020","+29.20%","728.17","Intraday valuesHistorical values","GEBN","3017040","CH0030170408","CHF","Swiss Blue Chip Shares","07.12.2020","Registered share","1","Swiss Shares","Yes","Geberit AG","35'874'333","0.10 CHF","Yes","International Reporting Standard"
"05.11.2021","GIVAUDAN N","4'359.00 / 9'426","+Market / 4'472.00","10 / 20","4'466.00","4'462.00","28'453","4'347 / 17:15","4'495 / 10:19","- / -","Mandatory offer for sale in accordance with FMIA","more...","more...","+10.63%","4'683.00 / 24.08.2021","3'401.00 / 05.03.2021","+16.86%","4'406.19","Intraday valuesHistorical values","GIVN","1064593","CH0010645932","CHF","Swiss Blue Chip Shares","07.12.2020","Registered share","1","Swiss Shares","Yes","Givaudan SA","9'233'586","10.00 CHF","Yes","International Reporting Standard"
"05.11.2021","HOLCIM N","47.20 / 678'609","+Market / 47.60","40 / 1'775","46.56","46.73","2'097'638","46.56 / 09:02","47.59 / 14:49","- / -","Mandatory offer for sale in accordance with FMIA","more...","more...","+10.02%","58.46 / 19.04.2021","43.18 / 06.10.2021","-2.92%","47.18","Intraday valuesHistorical values","HOLN","1221405","CH0012214059","CHF","Swiss Blue Chip Shares","07.12.2020","Registered share","1","Swiss Shares","Yes","Holcim Ltd","615'929'059","2.00 CHF","Yes","International Reporting Standard"
"05.11.2021","LOGITECH N","72.40 / 379'879","+Market / 73.98","270 / 7","74.00","74.06","1'624'716","72.1 / 17:19","74.36 / 10:14","- / -","Mandatory offer for sale in accordance with FMIA","more...","more...","-14.52%","124.90 / 09.06.2021","67.70 / 10.11.2020","-15.74%","85.45","Intraday valuesHistorical values","LOGN","2575132","CH0025751329","CHF","Swiss Blue Chip Shares","07.12.2020","Registered share","1","Swiss Shares","Yes","Logitech International S.A.","173'106'620","0.25 CHF","Yes","International Reporting Standard"
"05.11.2021","LONZA N","712.60 / 73'418","+Market / +Market","10 / 275","770.60","772.80","366'099","707.6 / 16:30","775.6 / 09:28","- / -","Mandatory offer for sale in accordance with FMIA","more...","more...","+15.46%","785.40 / 07.09.2021","516.20 / 31.03.2021","+25.28%","741.89","Intraday valuesHistorical values","LONN","1384101","CH0013841017","CHF","Swiss Blue Chip Shares","07.12.2020","Registered share","1","Swiss Shares","Yes","Lonza Group AG","74'468'752","1.00 CHF","Yes","International Reporting Standard"
"05.11.2021","NESTLE N","123.18 / 658'256","+Market / +Market","300 / 65","123.34","123.04","2'521'300","123.02 / 12:45","124.06 / 09:18","- / -","Mandatory offer for sale in accordance with FMIA","more...","more...","+15.66%","124.06 / 05.11.2021","95.00 / 26.02.2021","+18.15%","115.30","Intraday valuesHistorical values","NESN","3886335","CH0038863350","CHF","Swiss Blue Chip Shares","07.12.2020","Registered share","1","Swiss Shares","Yes","Nestlé AG","2'815'000'000","0.10 CHF","Yes","International Reporting Standard"
"05.11.2021","NOVARTIS N","76.09 / 692'359","+Market / +Market","315 / 2'992","76.33","76.08","3'981'946","75.9 / 09:04","76.63 / 12:06","- / -","Mandatory offer for sale in accordance with FMIA","more...","more...","-0.38%","86.92 / 17.08.2021","74.81 / 06.10.2021","-9.04%","79.03","Intraday valuesHistorical values","NOVN","1200526","CH0012005267","CHF","Swiss Blue Chip Shares","07.12.2020","Registered share","1","Swiss Shares","Yes","Novartis AG","2'434'420'920","0.50 CHF","Yes","International Reporting Standard"
